map_no,squad_id,row_type,in_game_name,player_id,kills_seen,assists,redeploys,damage,merge_status
5,T02,P,[1UP+]SleepyAuz,sleepy,3,0,4,2182,written
5,T02,TOTAL,,,9,0,17,6209,written
6,T02,P,cregan,chef_ram,8,2,7,5070,written
6,T02,P,[1UP+]SleepyAuz,sleepy,4,1,5,4152,written
6,T02,P,Turbs,turbs,3,2,5,2241,written
6,T02,TOTAL,,,15,5,17,11463,written
7,T02,P,[1UP+]SleepyAuz,sleepy,1,2,6,1815,written
7,T02,P,cregan,chef_ram,3,3,4,2590,written
7,T02,P,Turbs,turbs,3,0,5,1074,written
7,T02,TOTAL,,,7,5,15,5479,written
1,T03,P,[ult.]Gooey,gooey,6,3,12,3283,written
1,T03,P,[ 7 ]Inctz,inctz,3,2,5,2289,written
1,T03,P,[<3]Light,light,4,1,3,4062,written
1,T03,TOTAL,,,13,6,20,9634,written
2,T03,P,[ult.]Gooey,gooey,4,1,4,2181,written
2,T03,P,[<3]Light,light,9,1,4,3721,written
2,T03,P,[ 7 ]Inctz,inctz,5,1,1,2565,written
2,T03,TOTAL,,,18,3,9,8467,written
3,T03,P,[ult.]Gooey,gooey,14,4,5,4238,written
3,T03,P,[<3]Light,light,15,8,3,6435,written
3,T03,P,[ 7 ]Inctz,inctz,13,10,3,7173,written
3,T03,TOTAL,,,42,22,11,17846,written
4,T03,P,[<3]Light,light,9,4,7,5588,written
4,T03,P,[ 7 ]Inctz,inctz,8,4,8,4628,written
4,T03,P,[ult.]Gooey,gooey,4,3,13,2614,written
4,T03,TOTAL,,,21,11,28,12830,written
5,T03,P,[<3]Light,light,3,3,4,1905,written
5,T03,P,[ult.]Gooey,gooey,1,0,5,709,written
5,T03,P,[ 7 ]Inctz,inctz,1,0,2,529,written
5,T03,TOTAL,,,5,3,11,3143,written
6,T03,P,[ult.]Gooey,gooey,5,2,6,3138,written
6,T03,P,[<3]Light,light,6,4,3,3708,written
6,T03,P,[ 7 ]Inctz,inctz,5,3,3,2808,written
6,T03,TOTAL,,,16,9,12,9654,written
7,T03,P,[ 7 ]Inctz,inctz,4,1,5,2039,written
7,T03,P,[ult.]Gooey,gooey,2,2,9,1841,written
7,T03,P,[XIII]Light,light,2,1,5,1675,written
7,T03,TOTAL,,,8,4,19,5555,written
8,T03,P,[ 7 ]Inctz,inctz,3,2,8,2189,written
8,T03,P,[ult.]Gooey,gooey,1,1,14,812,written
8,T03,P,[XIII]Light,light,1,1,8,2446,written
8,T03,TOTAL,,,5,4,30,5447,written
9,T03,P,[XIII]Light,light,11,3,2,5580,written
9,T03,P,[ult.]Gooey,gooey,2,4,3,1803,written
9,T03,P,[ 7 ]Inctz,inctz,3,0,4,2350,written
9,T03,TOTAL,,,16,7,9,9733,written
1,T04,P,Dynamax,dyna,12,1,5,5814,written
1,T04,P,[1UP+]OG,og,8,3,6,4600,written
1,T04,P,[1UP+]Koby,koby,2,0,5,676,written
1,T04,TOTAL,,,22,4,16,11090,written
2,T04,P,[1UP+]Koby,koby,3,3,7,2600,written
2,T04,P,[1UP+]OG,og,6,6,4,3953,written
2,T04,P,Dynamax,dyna,5,2,2,3025,written
2,T04,TOTAL,,,14,11,13,9578,written
3,T04,P,Dynamax,dyna,5,1,15,3417,written
3,T04,P,[1UP+]Koby,koby,5,0,12,2406,written
3,T04,P,[1UP+]OG,og,5,0,12,4152,written
3,T04,TOTAL,,,15,1,39,9975,written
4,T04,P,[1UP+]Koby,koby,3,5,10,,written
4,T04,P,Dynamax,dyna,9,1,4,,written
4,T04,P,[1UP+]OG,og,10,2,8,,written
4,T04,TOTAL,,,22,8,22,,written
5,T04,P,[1UP+]OG,og,5,10,4,4689,written
5,T04,P,Dynamax,dyna,13,3,6,4945,written
5,T04,P,[1UP+]Koby,koby,1,5,7,1055,written
5,T04,TOTAL,,,19,18,17,10689,written
6,T04,P,Dynamax,dyna,7,3,4,5173,written
6,T04,P,[1UP+]Koby,koby,2,3,12,1537,written
6,T04,P,[1UP+]OG,og,5,0,6,2023,written
6,T04,TOTAL,,,14,6,22,8733,written
7,T04,P,Dynamax,dyna,15,7,4,7636,written
7,T04,P,[1UP+]OG,og,16,4,7,6246,written
7,T04,P,[1UP+]Koby,koby,2,5,6,1633,written
7,T04,TOTAL,,,33,16,17,15515,written
8,T04,P,[1UP+]Koby,koby,1,2,1,1357,written
8,T04,P,Dynamax,dyna,5,2,0,3233,written
8,T04,P,[1UP+]OG,og,3,0,1,1785,written
8,T04,TOTAL,,,9,4,2,6375,written
9,T04,P,Dynamax,dyna,8,2,6,4205,written
9,T04,P,[1UP+]OG,og,3,4,7,2020,written
9,T04,P,[1UP+]Koby,koby,1,0,7,820,written
9,T04,TOTAL,,,12,6,20,7045,written
1,T05,P,[don]5thStumpBattler,5thstump,1,0,3,828,written
1,T05,P,[oRAG]XxMONK3YMANxX123,monkey,4,0,5,2335,written
1,T05,P,minho,minho,3,1,3,2254,written
1,T05,TOTAL,,,8,1,11,5417,written
2,T05,P,minho,minho,1,1,7,583,written
2,T05,P,[oRAG]XxMONK3YMANxX123,monkey,2,2,10,1450,written
2,T05,P,[don]5thStumpBattler,5thstump,1,0,11,1203,written
2,T05,TOTAL,,,4,3,28,3236,written
3,T05,P,[oRAG]XxMONK3YMANxX123,monkey,2,1,8,1478,written
3,T05,P,minho,minho,1,3,5,1424,written
3,T05,P,[don]5thStumpBattler,5thstump,0,0,8,490,written
3,T05,TOTAL,,,3,4,21,3392,written
4,T05,P,[oRAG]XxMONK3YMANxX123,monkey,5,0,5,2033,written
4,T05,P,[don]5thStumpBattler,5thstump,0,3,6,312,written
4,T05,P,minho,minho,0,1,6,358,written
4,T05,TOTAL,,,5,4,17,2703,written
5,T05,P,[oRAG]XxMONK3YMANxX123,monkey,5,1,5,4258,written
5,T05,P,minho,minho,5,1,2,2705,written
5,T05,P,[don]5thStumpBattler,5thstump,4,1,7,2536,written
5,T05,TOTAL,,,14,3,14,9499,written
6,T05,P,[don]5thStumpBattler,5thstump,4,1,4,1839,written
6,T05,P,[oRAG]XxMONK3YMANxX123,monkey,4,0,7,2982,written
6,T05,P,minho,minho,2,0,3,1150,written
6,T05,TOTAL,,,10,1,14,5971,written
7,T05,P,[oRAG]XxMONK3YMANxX123,monkey,2,1,3,1765,skipped:unmapped-name
7,T05,P,SubZero,,2,1,2,1364,skipped:unmapped-name
7,T05,P,minho,minho,2,0,2,620,skipped:unmapped-name
7,T05,TOTAL,,,6,2,7,3749,skipped:unmapped-name
8,T05,P,minho,minho,3,4,5,2607,skipped:unmapped-name
8,T05,P,[oRAG]XxMONK3YMANxX123,monkey,4,0,6,1924,skipped:unmapped-name
8,T05,P,SubZero,,1,0,9,878,skipped:unmapped-name
8,T05,TOTAL,,,8,4,20,5409,skipped:unmapped-name
9,T05,P,minho,minho,5,5,0,3006,skipped:no-player_map-rows
9,T05,P,Humz,humz,2,2,2,2227,skipped:no-player_map-rows
9,T05,P,[oRAG]XxMONK3YMANxX123,monkey,3,3,1,1556,skipped:no-player_map-rows
9,T05,TOTAL,,,10,10,3,6789,skipped:no-player_map-rows
1,T06,P,[a]hazard,hazard,10,2,7,4369,written
1,T06,P,oBlocks,obricks,6,2,5,3350,written
1,T06,P,Kaiba,kaiba,4,1,7,1854,written
1,T06,TOTAL,,,20,5,19,9573,written
2,T06,P,Kaiba,kaiba,7,2,8,3728,written
2,T06,P,[a]hazard,hazard,4,2,7,2510,written
2,T06,P,oBlocks,obricks,3,4,7,2220,written
2,T06,TOTAL,,,14,8,22,8458,written
3,T06,P,oBlocks,obricks,10,4,5,4445,written
3,T06,P,Kaiba,kaiba,2,1,6,1117,written
3,T06,P,[a]hazard,hazard,5,2,2,3092,written
3,T06,TOTAL,,,17,7,13,8654,written
4,T06,P,Kaiba,kaiba,2,1,6,1573,written
4,T06,P,oBlocks,obricks,0,3,5,989,written
4,T06,P,[a]hazard,hazard,2,0,4,941,written
4,T06,TOTAL,,,4,4,15,3503,written
5,T06,P,[a]hazard,hazard,9,0,3,4395,written
5,T06,P,oBlocks,obricks,6,5,1,3721,written
5,T06,P,Kaiba,kaiba,3,2,3,2079,written
5,T06,TOTAL,,,18,7,7,10195,written
6,T06,P,[a]hazard,hazard,7,1,4,4127,written
6,T06,P,oBlocks,obricks,6,2,7,3755,written
6,T06,P,Kaiba,kaiba,3,3,10,2317,written
6,T06,TOTAL,,,16,6,21,10199,written
7,T06,P,[a]hazard,hazard,8,2,1,3710,written
7,T06,P,oBlocks,obricks,4,3,3,2786,written
7,T06,P,Kaiba,kaiba,6,3,3,2388,written
7,T06,TOTAL,,,18,8,7,8884,written
9,T06,P,oBlocks,obricks,5,4,2,3721,skipped:no-player_map-rows
9,T06,P,[a]hazard,hazard,4,1,3,2256,skipped:no-player_map-rows
9,T06,P,Kaiba,kaiba,1,3,3,1543,skipped:no-player_map-rows
9,T06,TOTAL,,,10,8,8,7520,skipped:no-player_map-rows
1,T07,P,z_,zmoney,0,2,0,190,written
1,T07,P,jdz,jdz,2,0,0,610,written
1,T07,P,gückie,guckie,0,0,0,0,written
1,T07,TOTAL,,,2,2,0,800,written
2,T07,P,gückie,guckie,5,3,2,2261,written
2,T07,P,jdz,jdz,10,1,3,4738,written
2,T07,P,z_,zmoney,6,3,3,3859,written
2,T07,TOTAL,,,21,7,8,10858,written
3,T07,P,z_,zmoney,7,2,10,2880,written
3,T07,P,gückie,guckie,4,1,11,2188,written
3,T07,P,jdz,jdz,4,1,7,2787,written
3,T07,TOTAL,,,15,4,28,7855,written
4,T07,P,z_,zmoney,8,3,10,5810,written
4,T07,P,jdz,jdz,5,1,10,2276,written
4,T07,P,gückie,guckie,1,3,9,2531,written
4,T07,TOTAL,,,14,7,29,10617,written
5,T07,P,jdz,jdz,7,4,6,3958,skipped:no-player_map-rows
5,T07,P,gückie,guckie,4,3,6,3370,skipped:no-player_map-rows
5,T07,P,z_,zmoney,5,4,2,2466,skipped:no-player_map-rows
5,T07,TOTAL,,,16,11,14,9794,skipped:no-player_map-rows
6,T07,P,jdz,jdz,9,3,5,3855,skipped:no-player_map-rows
6,T07,P,gückie,guckie,3,1,5,2313,skipped:no-player_map-rows
6,T07,P,z_,zmoney,9,7,5,5261,skipped:no-player_map-rows
6,T07,TOTAL,,,21,11,15,11429,skipped:no-player_map-rows
7,T07,P,gückie,guckie,5,2,8,2834,skipped:no-player_map-rows
7,T07,P,z_,zmoney,6,3,5,2920,skipped:no-player_map-rows
7,T07,P,jdz,jdz,3,2,6,2598,skipped:no-player_map-rows
7,T07,TOTAL,,,14,7,19,8352,skipped:no-player_map-rows
8,T07,P,gückie,guckie,5,4,7,2873,written
8,T07,P,jdz,jdz,10,3,4,5004,written
8,T07,P,z_,zmoney,8,6,5,4937,written
8,T07,TOTAL,,,23,13,16,12814,written
9,T07,P,gückie,guckie,3,0,3,,written
9,T07,P,jdz,jdz,4,4,2,,written
9,T07,P,z_,zmoney,3,4,3,,written
9,T07,TOTAL,,,10,8,8,,written
1,T08,P,[beast]Unrivaled,unrivaled,6,3,5,2733,written
1,T08,P,[ 44 ]AGGRO,aggy,6,5,5,4167,written
1,T08,P,Ankhas,ankhas,8,2,7,3872,written
1,T08,TOTAL,,,20,10,17,10772,written
3,T08,P,[ 44 ]AGGRO,aggy,11,3,4,5323,written
3,T08,P,Scoobss,ankhas,9,2,5,3397,written
3,T08,P,[beast]Unrivaled,unrivaled,5,3,7,2893,written
3,T08,TOTAL,,,25,8,16,11613,written
4,T08,P,Scoobss,ankhas,4,1,6,2081,written
4,T08,P,[ 44 ]AGGRO,aggy,6,2,4,3225,written
4,T08,P,[beast]Unrivaled,unrivaled,1,0,6,925,written
4,T08,TOTAL,,,11,3,16,6231,written
5,T08,P,[beast]Unrivaled,unrivaled,5,2,4,3047,written
5,T08,P,[ 44 ]AGGRO,aggy,7,4,3,3984,written
5,T08,P,Scoobss,ankhas,2,2,3,1816,written
5,T08,TOTAL,,,14,8,10,8847,written
1,T09,P,Drizzy,drizzy,6,1,3,2724,written
1,T09,P,[icon]Dx,dx,2,0,6,869,written
1,T09,P,trix,trix,1,3,2,1449,written
1,T09,TOTAL,,,9,4,11,5042,written
2,T09,P,trix,trix,5,1,8,3815,written
2,T09,P,[icon]Dx,dx,2,0,6,1267,written
2,T09,P,Drizzy,drizzy,3,2,6,2490,written
2,T09,TOTAL,,,10,3,20,7572,written
3,T09,P,trix,trix,5,1,6,3750,written
3,T09,P,[icon]Dx,dx,3,1,11,2337,written
3,T09,P,Drizzy,drizzy,2,3,4,2029,written
3,T09,TOTAL,,,10,5,21,8116,written
4,T09,P,[icon]Dx,dx,3,3,6,1579,written
4,T09,P,Drizzy,drizzy,8,7,4,6061,written
4,T09,P,trix,trix,12,3,3,5286,written
4,T09,TOTAL,,,23,13,13,12926,written
5,T09,P,trix,trix,11,7,6,6343,written
5,T09,P,Drizzy,drizzy,14,3,6,6323,written
5,T09,P,[icon]Dx,dx,5,3,6,3443,written
5,T09,TOTAL,,,30,13,18,16109,written
6,T09,P,[icon]Dx,dx,5,3,6,4058,written
6,T09,P,trix,trix,8,5,5,4556,written
6,T09,P,Drizzy,drizzy,10,3,5,4716,written
6,T09,TOTAL,,,23,11,16,13330,written
7,T09,P,Drizzy,drizzy,6,2,7,3612,written
7,T09,P,trix,trix,6,0,6,3129,written
7,T09,P,[icon]Dx,dx,5,4,6,1802,written
7,T09,TOTAL,,,17,6,19,8543,written
8,T09,P,trix,trix,9,2,7,4300,written
8,T09,P,[icon]Dx,dx,4,1,11,2425,written
8,T09,P,Drizzy,drizzy,3,1,4,2943,written
8,T09,TOTAL,,,16,4,22,9668,written
1,T10,P,[SLYQT]xXMissFairyXx,miss_fairy,4,0,9,1641,written
1,T10,P,[(.Y.)]ONFLEEK_SLYQT,onfleek,1,1,11,405,written
1,T10,P,[SLYTQ]Sass_Xx,sass,0,1,6,941,written
1,T10,TOTAL,,,5,2,26,2987,written
2,T10,P,[SLYQT]xXMissFairyXx,miss_fairy,3,0,4,1420,written
2,T10,P,[(.Y.)]ONFLEEK_SLYQT,onfleek,1,2,6,1002,written
2,T10,P,[SLYTQ]Sass_Xx,sass,0,0,7,287,written
2,T10,TOTAL,,,4,2,17,2709,written
3,T10,P,[(.Y.)]ONFLEEK_SLYQT,onfleek,2,3,8,1862,written
3,T10,P,[SLYQT]xXMissFairyXx,miss_fairy,0,1,9,1365,written
3,T10,P,[SLYTQ]Sass_Xx,sass,1,0,4,813,written
3,T10,TOTAL,,,3,4,21,4040,written
4,T10,P,[SLYQT]xXMissFairyXx,miss_fairy,2,3,4,1591,written
4,T10,P,[(.Y.)]ONFLEEK_SLYQT,onfleek,2,0,12,1081,written
4,T10,P,[SLYTQ]Sass_Xx,sass,2,0,4,1524,written
4,T10,TOTAL,,,6,3,20,4196,written
5,T10,P,[(.Y.)]ONFLEEK_SLYQT,onfleek,3,0,6,1527,skipped:player-not-on-row-set
5,T10,P,[+]Kenn,kenn,1,0,2,522,skipped:player-not-on-row-set
5,T10,P,[SLYQT]xXMissFairyXx,miss_fairy,0,0,2,1127,skipped:player-not-on-row-set
5,T10,TOTAL,,,4,0,10,3176,skipped:player-not-on-row-set
6,T10,P,[(.Y.)]ONFLEEK_SLYQT,onfleek,1,0,11,,skipped:player-not-on-row-set
6,T10,P,[SLYQT]xXMissFairyXx,miss_fairy,0,0,7,,skipped:player-not-on-row-set
6,T10,P,[+]Kenn,kenn,1,1,4,,skipped:player-not-on-row-set
6,T10,TOTAL,,,2,1,22,,skipped:player-not-on-row-set
1,T11,P,[BLKB]TTV Dolem1te,dolemite,2,0,3,1265,written
1,T11,P,[+]Hooli,hooli,1,0,1,855,written
1,T11,P,[1UP+]Jatzy,jatzy,0,0,3,616,written
1,T11,TOTAL,,,3,0,7,2736,written
2,T11,P,[BLKB]TTV Dolem1te,dolemite,10,2,2,4645,written
2,T11,P,[+]Hooli,hooli,5,2,4,3150,written
2,T11,P,[1UP+]Jatzy,jatzy,5,6,1,3848,written
2,T11,TOTAL,,,20,10,7,11643,written
3,T11,P,[BLKB]TTV Dolem1te,dolemite,8,4,7,4015,written
3,T11,P,[1UP+]Jatzy,jatzy,4,3,8,3696,written
3,T11,P,[+]Hooli,hooli,1,0,4,1092,written
3,T11,TOTAL,,,13,7,19,8803,written
4,T11,P,[BLKB]TTV Dolem1te,dolemite,5,4,8,2513,written
4,T11,P,[1UP+]Jatzy,jatzy,5,6,6,2710,written
4,T11,P,[+]Hooli,hooli,1,1,5,1313,written
4,T11,TOTAL,,,11,11,19,6536,written
5,T11,P,[1UP+]Jatzy,jatzy,0,3,1,1262,written
5,T11,P,[+]Hooli,hooli,1,0,8,1154,written
5,T11,P,[BLKB]TTV Dolem1te,dolemite,3,0,3,1411,written
5,T11,TOTAL,,,4,3,12,3827,written
6,T11,P,[BLKB]TTV Dolem1te,dolemite,5,1,2,3013,written
6,T11,P,[1UP+]Jatzy,jatzy,4,2,4,2559,written
6,T11,P,[+]Hooli,hooli,0,2,2,883,written
6,T11,TOTAL,,,9,5,8,6455,written
7,T11,P,[1UP+]Jatzy,jatzy,5,0,3,2759,written
7,T11,P,[BLKB]TTV Dolem1te,dolemite,2,2,2,1777,written
7,T11,P,[+]Hooli,hooli,1,0,3,959,written
7,T11,TOTAL,,,8,2,8,5495,written
9,T11,P,[+]Hooli,hooli,0,0,2,329,skipped:no-player_map-rows
9,T11,P,[1UP+]Jatzy,jatzy,0,1,0,601,skipped:no-player_map-rows
9,T11,P,[BLKB]TTV Dolem1te,dolemite,1,0,1,270,skipped:no-player_map-rows
9,T11,TOTAL,,,1,1,3,1200,skipped:no-player_map-rows
1,T12,P,Shan0,shan0,8,4,12,4361,written
1,T12,P,Willybee24,willybee,1,1,6,1542,written
1,T12,P,caita,caita,1,2,6,1530,written
1,T12,TOTAL,,,10,7,24,7433,written
2,T12,P,Shan0,shan0,1,2,11,1010,written
2,T12,P,caita,caita,4,0,8,1861,written
2,T12,P,Willybee24,willybee,0,1,8,885,written
2,T12,TOTAL,,,5,3,27,3756,written
3,T12,P,Shan0,shan0,5,2,10,2706,written
3,T12,P,caita,caita,7,1,6,3466,written
3,T12,P,Willybee24,willybee,5,4,4,3201,written
3,T12,TOTAL,,,17,7,20,9373,written
4,T12,P,caita,caita,5,4,7,5021,written
4,T12,P,Shan0,shan0,5,2,7,2824,written
4,T12,P,Willybee24,willybee,4,2,7,2120,written
4,T12,TOTAL,,,14,8,21,9965,written
5,T12,P,caita,caita,3,1,8,2383,written
5,T12,P,Shan0,shan0,2,3,10,2147,written
5,T12,P,Willybee24,willybee,2,3,4,1375,written
5,T12,TOTAL,,,7,7,22,5905,written
6,T12,P,Shan0,shan0,2,0,5,1059,written
6,T12,P,Willybee24,willybee,0,0,3,556,written
6,T12,P,caita,caita,0,1,0,439,written
6,T12,TOTAL,,,2,1,8,2054,written
7,T12,P,Shan0,shan0,8,2,5,4491,skipped:no-player_map-rows
7,T12,P,Willybee24,willybee,0,0,11,776,skipped:no-player_map-rows
7,T12,P,caita,caita,2,0,7,2535,skipped:no-player_map-rows
7,T12,TOTAL,,,10,2,23,7802,skipped:no-player_map-rows
8,T12,P,caita,caita,3,1,5,1793,written
8,T12,P,Shan0,shan0,5,2,2,2380,written
8,T12,P,Willybee24,willybee,1,2,4,2001,written
8,T12,TOTAL,,,9,5,11,6174,written
9,T12,P,Shan0,shan0,3,1,9,2020,written
9,T12,P,caita,caita,2,2,8,1323,written
9,T12,P,Willybee24,willybee,3,0,5,1345,written
9,T12,TOTAL,,,8,3,22,4688,written
1,T13,P,[RIVAL]DelayedReaction,delayed,0,0,7,288,written
1,T13,P,[Rival]Æntity,aentity,2,1,5,2364,written
1,T13,P,[RiVAL]AKA_kino07_Yt,kino,0,1,2,682,written
1,T13,TOTAL,,,2,2,14,3334,written
2,T13,P,[Rival]Æntity,aentity,6,2,2,4269,written
2,T13,P,[RiVAL]AKA_kino07_Yt,kino,0,1,3,531,written
2,T13,P,[RIVAL]DelayedReaction,delayed,3,1,3,1978,written
2,T13,TOTAL,,,9,4,8,6778,written
3,T13,P,[RIVAL]DelayedReaction,delayed,4,0,9,2187,written
3,T13,P,[RIVAL]FRENZY_AU,kino,1,0,6,1811,written
3,T13,P,[Rival]Æntity,aentity,2,1,5,2052,written
3,T13,TOTAL,,,7,1,20,6050,written
4,T13,P,[Rival]Æntity,aentity,4,1,4,2430,written
4,T13,P,[RIVAL]FRENZY_AU,kino,1,1,7,2163,written
4,T13,P,[RIVAL]DelayedReaction,delayed,2,0,14,431,written
4,T13,TOTAL,,,7,2,25,5024,written
5,T13,P,[RIVAL]FRENZY_AU,kino,5,2,6,2707,written
5,T13,P,[Rival]Æntity,aentity,3,1,8,1900,written
5,T13,P,[RIVAL]DelayedReaction,delayed,1,3,9,919,written
5,T13,TOTAL,,,9,6,23,5526,written
6,T13,P,[RIVAL]FRENZY_AU,kino,3,1,1,1337,written
6,T13,P,[RIVAL]DelayedReaction,delayed,0,0,2,331,written
6,T13,P,[Rival]Æntity,aentity,0,2,4,1169,written
6,T13,TOTAL,,,3,3,7,2837,written
7,T13,P,[RIVAL]FRENZY_AU,kino,2,0,6,1577,written
7,T13,P,[Rival]Æntity,aentity,1,1,6,1232,written
7,T13,P,[RIVAL]DelayedReaction,delayed,1,0,8,634,written
7,T13,TOTAL,,,4,1,20,3443,written
8,T13,P,[Rival]Æntity,aentity,1,1,5,1224,written
8,T13,P,[RIVAL]FRENZY_AU,kino,1,1,5,2378,written
8,T13,P,[RIVAL]DelayedReaction,delayed,1,0,4,740,written
8,T13,TOTAL,,,3,2,14,4342,written
1,T14,P,Leza,lezafort,4,0,4,2120,written
1,T14,P,[+57]ManeMerc,manemerc,2,1,6,1649,written
1,T14,P,[+57]Lupin22,lupin,0,2,6,898,written
1,T14,TOTAL,,,6,3,16,4667,written
3,T14,P,Leza,lezafort,3,1,9,1624,written
3,T14,P,[+57]Lupin22,lupin,0,1,9,509,written
3,T14,P,[+57]ManeMerc,manemerc,1,0,9,780,written
3,T14,TOTAL,,,4,2,27,2913,written
4,T14,P,Leza,lezafort,7,2,1,3361,written
4,T14,P,[+57]ManeMerc,manemerc,2,4,0,2530,written
4,T14,P,[+57]Lupin22,lupin,1,1,1,767,written
4,T14,TOTAL,,,10,7,2,6658,written
5,T14,P,[+57]Lupin22,lupin,2,1,7,1104,written
5,T14,P,[+57]ManeMerc,manemerc,2,0,3,1007,written
5,T14,P,Leza,lezafort,2,1,2,1590,written
5,T14,TOTAL,,,6,2,12,3701,written
6,T14,P,Leza,lezafort,4,3,6,3200,written
6,T14,P,[+57]ManeMerc,manemerc,5,0,4,2830,written
6,T14,P,[+57]Lupin22,lupin,4,0,5,1491,written
6,T14,TOTAL,,,13,3,15,7521,written
7,T14,P,[+57]ManeMerc,manemerc,10,3,7,5316,skipped:no-player_map-rows
7,T14,P,Leza,lezafort,7,2,10,3847,skipped:no-player_map-rows
7,T14,P,[+57]Lupin22,lupin,1,1,12,1416,skipped:no-player_map-rows
7,T14,TOTAL,,,18,6,29,10579,skipped:no-player_map-rows
8,T14,P,[+57]Lupin22,lupin,2,0,3,1096,written
8,T14,P,[+57]ManeMerc,manemerc,5,3,1,3568,written
8,T14,P,Leza,lezafort,4,2,2,2973,written
8,T14,TOTAL,,,11,5,6,7637,written
9,T14,P,Leza,lezafort,3,1,2,,written
9,T14,P,[+57]Lupin22,lupin,1,1,1,,written
9,T14,P,[+57]ManeMerc,manemerc,0,1,3,,written
9,T14,TOTAL,,,4,3,6,,written
1,T15,P,Humz,humz,4,2,4,1588,written
1,T15,P,@swanny,vgl_(swanny),5,4,3,3468,written
1,T15,P,Arsenic,arsenic,5,1,3,2603,written
1,T15,TOTAL,,,14,7,10,7659,written
2,T15,P,@swanny,vgl_(swanny),7,1,6,3492,written
2,T15,P,Humz,humz,2,2,5,1788,written
2,T15,P,Arsenic,arsenic,0,3,5,1422,written
2,T15,TOTAL,,,9,6,16,6702,written
3,T15,P,Humz,humz,6,1,13,2951,written
3,T15,P,@swanny,vgl_(swanny),5,1,12,2859,written
3,T15,P,Arsenic,arsenic,3,0,10,2712,written
3,T15,TOTAL,,,14,2,35,8522,written
4,T15,P,@swanny,vgl_(swanny),8,0,5,3124,written
4,T15,P,Arsenic,arsenic,4,0,9,1988,written
4,T15,P,Humz,humz,0,2,3,1435,written
4,T15,TOTAL,,,12,2,17,6547,written
5,T15,P,@swanny,vgl_(swanny),5,0,6,1994,written
5,T15,P,Arsenic,arsenic,6,1,3,2646,written
5,T15,P,Humz,humz,2,2,3,1188,written
5,T15,TOTAL,,,13,3,12,5828,written
6,T15,P,@swanny,vgl_(swanny),1,0,2,1480,written
6,T15,P,Humz,humz,0,0,6,462,written
