map_no,squad_id,player_id,kills,assists,redeploys,damage,confidence
4,T07,jdz,6,1,10,2276,C
4,T07,zmoney,8,3,10,5810,C
8,T07,guckie,5,4,7,2873,C
8,T07,jdz,10,3,4,5004,C
8,T07,zmoney,8,6,5,4937,C
9,T07,guckie,3,0,3,,C
9,T07,jdz,4,4,2,,C
9,T07,zmoney,3,4,3,,C
1,T08,ankhas,8,2,7,3872,C
1,T08,aggy,6,5,5,4167,C
1,T08,unrivaled,6,3,5,2733,C
2,T08,ankhas,0,,,,C
2,T08,aggy,0,,,,C
2,T08,unrivaled,0,,,,C
3,T08,ankhas,9,2,5,3397,C
3,T08,aggy,11,3,4,5323,C
3,T08,unrivaled,5,3,7,2893,C
4,T08,ankhas,4,1,6,2081,C
4,T08,aggy,6,2,4,3225,C
4,T08,unrivaled,1,0,6,925,C
5,T08,ankhas,14,2,3,1816,C
5,T08,aggy,11,4,3,3984,C
5,T08,unrivaled,5,2,4,3047,C
1,T09,drizzy,6,1,3,2724,C
1,T09,trix,1,3,2,1449,C
1,T09,dx,2,0,6,869,C
2,T09,drizzy,3,2,6,2490,C
2,T09,trix,3,1,8,3815,C
2,T09,dx,4,0,6,1267,C
3,T09,drizzy,2,3,4,2029,C
3,T09,trix,5,1,6,3750,C
3,T09,dx,3,1,11,2337,C
4,T09,drizzy,8,7,4,6061,C
4,T09,trix,12,3,3,5286,C
4,T09,dx,3,3,6,1579,C
5,T09,drizzy,14,3,6,6323,C
5,T09,trix,11,7,6,6343,C
5,T09,dx,5,3,6,3443,C
6,T09,drizzy,10,3,5,4716,C
6,T09,trix,8,5,5,4556,C
6,T09,dx,5,3,6,4058,C
7,T09,drizzy,6,2,7,3612,C
7,T09,trix,6,0,6,3129,C
7,T09,dx,5,4,6,1802,C
8,T09,drizzy,3,1,4,2943,C
8,T09,trix,9,2,7,4300,C
8,T09,dx,4,1,11,2425,C
1,T10,miss_fairy,4,0,9,1641,C
1,T10,onfleek,1,1,11,405,C
1,T10,sass,0,1,6,941,C
2,T10,miss_fairy,3,0,4,1420,C
2,T10,onfleek,1,2,6,1002,C
2,T10,sass,0,0,7,287,C
3,T10,miss_fairy,0,1,9,1365,C
3,T10,onfleek,2,3,8,1862,C
3,T10,sass,1,0,4,813,C
4,T10,miss_fairy,2,3,4,1591,C
4,T10,onfleek,2,0,12,1081,C
4,T10,sass,2,0,4,1524,C
5,T10,miss_fairy,3,,,,C
5,T10,onfleek,0,,,,C
5,T10,sass,1,,,,C
6,T10,miss_fairy,0,,,,C
6,T10,onfleek,1,,,,C
6,T10,sass,1,,,,C
1,T11,dolemite,2,0,3,1265,C
1,T11,jatzy,0,0,3,616,C
1,T11,hooli,1,0,1,855,C
2,T11,dolemite,10,2,2,4645,C
2,T11,jatzy,5,6,1,3848,C
2,T11,hooli,5,2,4,3150,C
3,T11,dolemite,8,4,7,4015,C
3,T11,jatzy,4,3,8,3696,C
3,T11,hooli,1,0,4,1092,C
4,T11,dolemite,5,4,8,2513,C
4,T11,jatzy,5,6,6,2710,C
4,T11,hooli,1,1,5,1313,C
5,T11,dolemite,3,0,3,1411,C
5,T11,jatzy,0,3,1,1262,C
5,T11,hooli,1,0,8,1154,C
6,T11,dolemite,5,1,2,3013,C
6,T11,jatzy,4,2,4,2559,C
6,T11,hooli,0,2,2,883,C
7,T11,dolemite,2,2,2,1777,C
7,T11,jatzy,5,0,3,2759,C
7,T11,hooli,1,0,3,959,C
1,T12,shan0,8,4,12,4361,C
1,T12,willybee,1,1,6,1542,C
1,T12,caita,1,2,6,1530,C
2,T12,shan0,1,2,11,1010,C
2,T12,willybee,0,1,8,885,C
2,T12,caita,4,0,8,1861,C
3,T12,shan0,5,2,10,2706,C
3,T12,willybee,5,4,4,3201,C
3,T12,caita,7,1,6,3466,C
4,T12,shan0,5,2,7,2824,C
4,T12,willybee,4,2,7,2120,C
4,T12,caita,5,4,7,5021,C
5,T12,shan0,2,3,10,2147,C
5,T12,willybee,2,3,4,1375,C
5,T12,caita,3,1,8,2383,C
6,T12,shan0,2,0,5,1059,C
6,T12,willybee,0,0,3,556,C
6,T12,caita,0,1,0,439,C
8,T12,shan0,7,2,2,2380,C
8,T12,willybee,1,2,4,2001,C
8,T12,caita,4,1,5,1793,C
9,T12,shan0,8,1,9,2020,C
9,T12,willybee,0,0,5,1345,C
9,T12,caita,3,2,8,1323,C
1,T13,delayed,2,0,7,288,C
1,T13,kino,0,1,2,682,C
1,T13,aentity,0,1,5,2364,C
2,T13,delayed,3,1,3,1978,C
2,T13,kino,0,1,3,531,C
2,T13,aentity,6,2,2,4269,C
3,T13,delayed,4,0,9,2187,C
3,T13,kino,1,0,6,1811,C
3,T13,aentity,2,1,5,2052,C
4,T13,delayed,2,0,14,431,C
4,T13,kino,1,1,7,2163,C
4,T13,aentity,4,1,4,2430,C
5,T13,delayed,1,3,9,919,C
5,T13,kino,5,2,6,2707,C
5,T13,aentity,3,1,8,1900,C
6,T13,delayed,0,0,2,331,C
6,T13,kino,0,1,1,1337,C
6,T13,aentity,3,2,4,1169,C
7,T13,delayed,1,0,8,634,C
7,T13,kino,2,0,6,1577,C
7,T13,aentity,1,1,6,1232,C
8,T13,delayed,1,0,4,740,C
8,T13,kino,1,1,5,2378,C
8,T13,aentity,1,1,5,1224,C
1,T14,lezafort,4,0,4,2120,C
1,T14,lupin,0,2,6,898,C
1,T14,manemerc,2,1,6,1649,C
2,T14,lezafort,0,,,,C
2,T14,lupin,0,,,,C
2,T14,manemerc,0,,,,C
3,T14,lezafort,3,1,9,1624,C
3,T14,lupin,0,1,9,509,C
3,T14,manemerc,1,0,9,780,C
4,T14,lezafort,7,2,1,3361,C
4,T14,lupin,1,1,1,767,C
4,T14,manemerc,2,4,0,2530,C
5,T14,lezafort,2,1,2,1590,C
5,T14,lupin,2,1,7,1104,C
5,T14,manemerc,2,0,3,1007,C
6,T14,lezafort,4,3,6,3200,C
6,T14,lupin,4,0,5,1491,C
6,T14,manemerc,5,0,4,2830,C
8,T14,lezafort,4,2,2,2973,C
8,T14,lupin,2,0,3,1096,C
8,T14,manemerc,5,3,1,3568,C
9,T14,lezafort,3,1,2,,C
9,T14,lupin,1,1,1,,C
9,T14,manemerc,0,1,3,,C
1,T15,humz,4,2,4,1588,C
1,T15,vgl_(swanny),5,4,3,3468,C
1,T15,arsenic,5,1,3,2603,C
2,T15,humz,2,2,5,1788,C
2,T15,vgl_(swanny),7,1,6,3492,C
2,T15,arsenic,0,3,5,1422,C
3,T15,humz,6,1,13,2951,C
3,T15,vgl_(swanny),5,1,12,2859,C
3,T15,arsenic,3,0,10,2712,C
4,T15,humz,0,2,3,1435,C
4,T15,vgl_(swanny),8,0,5,3124,C
4,T15,arsenic,4,0,9,1988,C
5,T15,humz,2,2,3,1188,C
5,T15,vgl_(swanny),5,0,6,1994,C
5,T15,arsenic,6,1,3,2646,C
6,T15,humz,0,0,6,462,C
6,T15,vgl_(swanny),1,0,2,1480,C
6,T15,arsenic,1,0,3,623,C
7,T15,humz,3,0,4,1917,C
7,T15,vgl_(swanny),1,1,3,1122,C
7,T15,arsenic,0,0,1,211,C
1,T16,termxi,0,0,3,676,C
1,T16,meataxe,1,0,5,594,C
1,T16,redshiftr,1,1,7,1259,C
2,T16,termxi,0,1,1,,C
2,T16,meataxe,0,1,5,,C
2,T16,redshiftr,3,0,4,,C
3,T16,termxi,4,3,2,1656,C
3,T16,meataxe,1,0,5,800,C
3,T16,redshiftr,2,5,4,2741,C
4,T16,termxi,4,4,2,2341,C
4,T16,meataxe,3,0,5,1743,C
4,T16,redshiftr,8,1,5,3036,C
5,T16,termxi,4,3,1,1519,C
5,T16,meataxe,2,1,5,1353,C
5,T16,redshiftr,2,2,4,2754,C
6,T16,termxi,1,0,1,741,C
6,T16,meataxe,0,0,1,778,C
6,T16,redshiftr,4,0,3,1971,C
7,T16,termxi,0,,,,C
7,T16,meataxe,0,,,,C
7,T16,redshiftr,0,,,,C
8,T16,termxi,0,,,,C
8,T16,meataxe,0,,,,C
8,T16,redshiftr,3,,,,C
