map_no,squad_id,placement,squad_kills,squad_assists,squad_redeploys,squad_damage,confidence,evidence_url,note
6,T12,16,2,1,8,2054,C,,
7,T12,4,10,,,,T,,
8,T12,10,12,5,11,6174,C,,
9,T12,9,11,3,22,4688,C,,
1,T13,10,2,2,14,3334,C,,
2,T13,6,9,4,8,6778,C,,
3,T13,11,7,1,20,6050,C,,
4,T13,11,7,2,25,5024,C,,
5,T13,8,9,6,23,5526,C,,
6,T13,15,3,3,7,2837,C,,
7,T13,8,4,1,20,3443,C,,
8,T13,6,3,2,14,4342,C,,
9,T13,,,,,,W,,squad withdrew after M8 - map excluded from player medians
1,T14,12,6,3,16,4667,C,,
2,T14,16,0,,,,C,,
3,T14,15,4,2,27,2913,C,,
4,T14,13,10,7,2,6658,C,,
5,T14,14,6,2,12,3701,C,,
6,T14,9,13,3,15,7521,C,,
7,T14,1,18,,,,T,,
8,T14,6,11,5,6,7637,C,,
9,T14,13,4,3,6,,C,,
1,T15,8,14,7,10,7659,C,,
2,T15,5,9,6,16,6702,C,,
3,T15,8,14,2,35,8522,C,,
4,T15,12,12,2,17,6547,C,,
5,T15,13,13,3,12,5828,C,,
6,T15,14,2,0,11,2565,C,,
7,T15,9,4,1,8,3250,C,,
8,T15,,,,,,W,,squad withdrew after M7 - map excluded from player medians
9,T15,,,,,,W,,squad withdrew after M7 - map excluded from player medians
1,T16,13,2,1,15,2529,C,,
2,T16,15,3,2,10,,C,,
3,T16,13,7,8,11,5197,C,,
4,T16,8,15,5,12,7120,C,,
5,T16,10,8,6,10,5626,C,,
6,T16,11,5,0,5,3490,C,,
7,T16,14,0,,,,C,,
8,T16,12,3,,,,C,,
9,T16,,,,,,W,,squad withdrew after M8 - map excluded from player medians
