map_no,squad_id,player_id,kills,assists,redeploys,damage,confidence
4,T07,minho,0,0,11,266,C
5,T07,unrivaled,5,2,8,2960,C
5,T07,chonglee,4,2,5,2927,C
5,T07,minho,2,1,12,1465,C
6,T07,unrivaled,13,3,5,7902,C
6,T07,chonglee,11,4,3,5314,C
6,T07,minho,2,1,4,1756,C
7,T07,chonglee,8,2,6,7034,C
7,T07,minho,6,1,14,2164,C
7,T07,unrivaled,3,2,4,4401,C
8,T07,chonglee,5,3,3,3204,C
8,T07,unrivaled,4,1,4,2263,C
8,T07,minho,0,0,5,459,C
9,T07,unrivaled,8,0,6,2839,C
9,T07,chonglee,2,3,5,2338,C
9,T07,minho,2,0,2,1133,C
1,T08,zmoney,11,3,3,5432,C
1,T08,splyce,7,0,4,3370,C
1,T08,camzy,3,3,2,2557,C
2,T08,zmoney,8,0,5,4970,C
2,T08,camzy,4,1,5,4644,C
2,T08,kaiba,3,1,9,2642,C
3,T08,zmoney,9,3,4,5281,C
3,T08,camzy,7,3,6,3524,C
3,T08,kaiba,3,1,5,2180,C
4,T08,zmoney,5,1,5,3210,C
4,T08,kaiba,1,0,8,1392,C
4,T08,camzy,4,0,6,2428,C
5,T08,zmoney,6,1,2,3085,C
5,T08,kaiba,2,0,3,1093,C
5,T08,camzy,3,1,1,1700,C
6,T08,zmoney,11,3,2,4874,C
6,T08,splyce,4,2,3,2870,C
6,T08,camzy,5,5,2,3677,C
7,T08,zmoney,5,0,10,2825,C
7,T08,splyce,1,0,8,1954,C
7,T08,camzy,2,2,6,2284,C
8,T08,zmoney,1,1,1,958,C
8,T08,splyce,0,0,1,234,C
8,T08,camzy,1,0,0,431,C
9,T08,zmoney,1,0,2,1279,C
9,T08,splyce,0,0,7,407,C
9,T08,camzy,0,0,4,861,C
1,T09,jay,3,4,9,2739,C
1,T09,jdz,4,2,9,2621,C
1,T09,slight,0,1,13,1163,C
2,T09,jdz,10,1,1,4505,C
2,T09,jay,3,3,2,1541,C
2,T09,slight,0,0,1,212,C
4,T09,jay,6,0,8,3921,C
4,T09,jdz,8,0,8,3900,C
4,T09,slight,0,1,10,1117,C
5,T09,jay,3,0,2,1959,C
5,T09,jdz,2,0,3,1153,C
5,T09,slight,0,0,4,0,C
6,T09,jdz,6,2,6,3569,C
6,T09,jay,5,1,1,1983,C
6,T09,slight,0,0,7,482,C
7,T09,jay,13,1,5,4818,C
7,T09,jdz,5,0,2,2649,C
7,T09,slight,0,0,5,353,C
8,T09,jay,6,3,8,3766,C
8,T09,jdz,8,1,9,6004,C
8,T09,slight,2,0,13,2134,C
1,T10,lgks,8,2,4,2568,C
1,T10,hassi,8,3,4,5088,C
1,T10,dx,1,2,5,1738,C
2,T10,hassi,1,2,5,1238,C
2,T10,dx,3,2,4,1856,C
2,T10,lgks,1,0,3,426,C
3,T10,lgks,2,0,7,1936,C
3,T10,hassi,2,0,6,2262,C
3,T10,dx,0,0,8,954,C
4,T10,hassi,4,2,3,3035,C
4,T10,dx,2,0,5,1297,C
4,T10,lgks,3,3,2,1040,C
5,T10,hassi,9,2,6,5615,C
5,T10,lgks,0,0,6,1185,C
5,T10,dx,4,2,5,2366,C
6,T10,hassi,2,0,3,647,C
6,T10,lgks,0,1,1,355,C
6,T10,dx,0,1,1,249,C
7,T10,lgks,1,2,5,1335,C
7,T10,hassi,1,1,6,939,C
7,T10,dx,1,0,7,366,C
8,T10,hassi,4,4,5,3532,C
8,T10,lgks,2,4,6,2268,C
8,T10,dx,3,3,7,1561,C
9,T10,hassi,12,5,3,5614,C
9,T10,lgks,8,2,2,3086,C
9,T10,dx,4,2,2,2818,C
1,T11,light,2,0,1,1502,C
1,T11,jatzy,2,1,4,1069,C
1,T11,venqur,2,1,2,732,C
2,T11,jatzy,0,0,3,484,C
2,T11,venqur,2,1,2,1005,C
2,T11,light,0,1,2,831,C
3,T11,light,5,3,7,2769,C
3,T11,venqur,3,0,3,1518,C
3,T11,jatzy,2,1,7,1355,C
4,T11,light,2,0,0,634,C
4,T11,jatzy,0,3,0,408,C
4,T11,venqur,1,1,0,390,C
5,T11,light,1,0,0,172,C
5,T11,venqur,0,1,0,228,C
5,T11,jatzy,0,0,0,354,C
6,T11,light,10,1,6,4778,C
6,T11,jatzy,3,5,4,2402,C
6,T11,venqur,6,5,8,3767,C
7,T11,jatzy,2,0,8,1366,C
7,T11,light,2,0,3,1593,C
7,T11,venqur,0,1,8,693,C
8,T11,light,3,2,11,2826,C
8,T11,jatzy,6,0,13,2816,C
8,T11,venqur,1,0,7,1282,C
9,T11,jatzy,7,4,6,3469,C
9,T11,venqur,7,3,5,3558,C
9,T11,light,6,5,4,4628,C
1,T12,zinc,8,3,5,4481,C
1,T12,snowyy,7,3,5,4157,C
1,T12,hikkar,1,3,7,1046,C
2,T12,snowyy,5,0,4,3524,C
2,T12,zinc,3,0,7,2246,C
2,T12,hikkar,0,1,9,548,C
3,T12,zinc,9,2,2,5389,C
3,T12,snowyy,5,3,3,3486,C
3,T12,hikkar,0,3,8,2156,C
4,T12,snowyy,7,2,7,4815,C
4,T12,zinc,7,3,5,3099,C
4,T12,hikkar,0,1,11,586,C
5,T12,hikkar,2,2,10,2307,C
5,T12,snowyy,9,0,7,3357,C
5,T12,zinc,4,0,6,3657,C
6,T12,zinc,2,1,4,1820,C
6,T12,snowyy,6,1,5,3295,C
6,T12,hikkar,3,0,9,1733,C
7,T12,zinc,13,2,3,4923,C
7,T12,snowyy,5,4,5,4787,C
7,T12,hikkar,5,4,7,2549,C
9,T12,snowyy,10,1,2,3429,C
9,T12,hikkar,2,1,3,1290,C
9,T12,zinc,3,2,4,2666,C
1,T13,hi,2,0,2,1643,C
1,T13,zaza,2,2,1,1463,C
1,T13,akhi,1,0,2,722,C
2,T13,hi,1,1,4,,C
2,T13,zaza,1,0,4,,C
2,T13,akhi,1,0,4,,C
3,T13,akhi,4,1,7,,C
3,T13,hi,3,1,5,,C
3,T13,zaza,2,2,7,,C
4,T13,hi,4,1,6,,C
4,T13,akhi,2,0,6,,C
4,T13,zaza,3,2,1,,C
5,T13,akhi,3,1,2,1303,C
5,T13,hi,8,2,2,2731,C
5,T13,zaza,3,4,1,2088,C
6,T13,akhi,3,1,5,,C
6,T13,hi,5,1,5,,C
6,T13,zaza,4,1,2,,C
7,T13,akhi,7,3,3,3625,C
7,T13,hi,6,3,1,2489,C
7,T13,zaza,6,1,3,3172,C
8,T13,zaza,3,0,,,C
8,T13,hi,4,0,,,C
8,T13,akhi,1,3,,,C
9,T13,hi,3,0,4,1390,C
9,T13,zaza,2,0,5,1677,C
9,T13,akhi,0,0,5,260,C
1,T14,lezafort,8,1,8,3929,C
1,T14,jono,0,2,12,1809,C
1,T14,manemerc,0,4,8,1936,C
2,T14,lezafort,9,0,8,4183,C
2,T14,manemerc,3,2,4,3265,C
2,T14,jono,4,2,9,2043,C
3,T14,jono,2,1,2,1071,C
3,T14,manemerc,2,0,2,1491,C
3,T14,lezafort,2,0,2,1125,C
4,T14,lezafort,5,0,11,2726,C
4,T14,manemerc,3,1,12,3077,C
4,T14,jono,0,0,10,1650,C
5,T14,lezafort,5,1,8,3235,C
5,T14,jono,2,0,7,3039,C
5,T14,manemerc,4,1,4,2286,C
6,T14,lezafort,2,2,9,2073,C
6,T14,manemerc,5,2,10,2656,C
6,T14,jono,4,1,7,1764,C
7,T14,lezafort,5,4,9,3343,C
7,T14,jono,3,0,6,1440,C
7,T14,manemerc,3,3,4,2023,C
8,T14,jono,9,6,4,3593,C
8,T14,lezafort,5,3,2,4749,C
8,T14,manemerc,6,3,2,2883,C
9,T14,jono,3,2,7,1989,C
9,T14,lezafort,4,1,4,2683,C
9,T14,manemerc,2,2,3,2022,C
1,T15,n31mak,1,1,5,946,C
1,T15,5thstump,4,1,3,1978,C
1,T15,zzeallo,3,0,5,1223,C
2,T15,n31mak,1,0,0,687,C
2,T15,5thstump,1,0,0,500,C
2,T15,zzeallo,1,0,0,521,C
3,T15,5thstump,5,3,4,2647,C
3,T15,n31mak,6,3,7,3298,C
3,T15,zzeallo,7,2,10,2702,C
4,T15,n31mak,3,2,3,2020,C
4,T15,5thstump,1,3,1,1542,C
4,T15,zzeallo,3,2,2,1727,C
5,T15,5thstump,1,3,4,1635,C
5,T15,n31mak,5,0,5,1250,C
5,T15,zzeallo,2,0,2,1406,C
6,T15,n31mak,3,2,7,2010,C
6,T15,5thstump,3,1,6,1401,C
6,T15,zzeallo,2,0,4,939,C
7,T15,n31mak,1,1,7,1334,C
7,T15,5thstump,1,1,9,568,C
7,T15,zzeallo,1,0,6,623,C
8,T15,n31mak,0,0,8,225,C
8,T15,zzeallo,0,0,8,778,C
8,T15,5thstump,0,1,5,587,C
9,T15,n31mak,0,0,5,239,C
9,T15,5thstump,0,0,6,481,C
9,T15,zzeallo,0,0,7,164,C
1,T16,cortez,2,0,5,1474,C
1,T16,frenchy,3,0,12,855,C
1,T16,vibes,2,0,6,1454,C
2,T16,frenchy,5,1,7,2441,C
2,T16,cortez,1,3,6,1411,C
2,T16,vibes,1,0,8,600,C
3,T16,cortez,2,0,2,2311,C
3,T16,frenchy,2,0,3,1484,C
3,T16,vibes,1,2,8,1065,C
4,T16,frenchy,4,1,6,2843,C
4,T16,cortez,1,0,4,955,C
4,T16,vibes,1,0,6,908,C
5,T16,frenchy,0,2,0,441,C
5,T16,vibes,0,2,0,330,C
5,T16,cortez,2,0,0,227,C
6,T16,frenchy,0,1,4,561,C
6,T16,cortez,1,0,3,641,C
6,T16,vibes,0,0,2,87,C
8,T16,cortez,1,0,5,1042,C
8,T16,frenchy,2,1,10,1658,C
8,T16,vibes,3,1,6,1425,C
9,T16,frenchy,0,1,4,1371,C
9,T16,vibes,4,0,3,1529,C
9,T16,cortez,3,0,2,1512,C
