map_no,squad_id,source_file,row_type,in_game_name,kills_seen,assists,redeploys,damage
8,T04,115,T,,22,7,9,10703
9,T04,081,P,Bray,3,2,9,3165
9,T04,081,P,Vague,2,0,5,2886
9,T04,081,P,[bomb]DEMON,1,1,7,1155
9,T04,081,T,,6,3,21,7206
10,T04,087,P,Bray,7,1,7,3740
10,T04,087,P,Vague,8,0,3,3997
10,T04,087,P,[bomb]DEMON,2,0,6,574
10,T04,087,T,,17,1,16,8311
1,T05,016,P,Kalon,11,3,4,5001
1,T05,016,P,[ a ]roccy,1,1,5,2193
1,T05,016,P,Drizzy,7,2,6,4403
1,T05,016,T,,19,6,15,11597
2,T05,023,P,Drizzy,8,2,5,5801
2,T05,023,P,[ a ]roccy,3,1,4,1861
2,T05,023,P,Kalon,7,2,4,4099
2,T05,023,T,,18,5,13,11761
3,T05,108,P,[ a ]roccy,0,0,6,311
3,T05,108,P,Drizzy,5,2,3,2753
3,T05,108,P,Kalon,4,4,3,3419
3,T05,108,T,,9,6,12,6483
4,T05,116,P,[ a ]roccy,1,0,4,1414
4,T05,116,P,Kalon,4,1,3,2148
4,T05,116,P,Drizzy,4,1,0,2069
4,T05,116,T,,9,2,7,5631
5,T05,078,P,Kalon,6,2,2,3289
5,T05,078,P,Drizzy,5,0,3,2164
5,T05,078,P,[ a ]roccy,3,0,3,1525
5,T05,078,T,,14,2,8,6978
6,T05,037,P,Kalon,2,6,3,2657
6,T05,037,P,Drizzy,4,0,4,1784
6,T05,037,P,[ a ]roccy,0,0,4,108
6,T05,037,T,,6,6,11,4549
7,T05,046,P,Kalon,9,4,4,4173
7,T05,046,P,Drizzy,6,4,5,2649
7,T05,046,P,[ a ]roccy,1,1,7,760
7,T05,046,T,,16,9,16,7582
8,T05,049,P,Kalon,1,0,1,815
8,T05,049,P,[ a ]roccy,0,0,3,511
8,T05,049,P,Drizzy,1,0,1,450
8,T05,049,T,,2,0,5,1776
9,T05,125,P,Kalon,5,4,5,3984
9,T05,125,P,Drizzy,7,2,8,4344
9,T05,125,P,[ a ]roccy,2,1,7,1979
9,T05,125,T,,14,7,20,10307
1,T06,060,P,Dynamax,10,7,4,
1,T06,060,P,NZDee,6,5,2,
1,T06,060,P,Koby,1,5,3,1885
1,T06,060,T,,17,17,9,11661
2,T06,061,P,Koby,4,0,11,1804
2,T06,061,P,NZDee,6,3,10,3467
2,T06,061,P,Dynamax,3,3,6,2969
2,T06,061,T,,13,6,27,8240
3,T06,132,P,Koby,1,0,6,235
3,T06,132,P,Dynamax,4,3,3,3199
3,T06,132,P,NZDee,2,0,2,1772
3,T06,132,T,,,,,
4,T06,010,P,Dynamax,5,2,3,3363
4,T06,010,P,Koby,2,0,3,628
4,T06,010,P,NZDee,1,2,4,1583
4,T06,010,T,,8,4,10,5574
5,T06,133,P,Koby,1,5,6,1685
5,T06,133,P,NZDee,5,0,5,3361
5,T06,133,P,Dynamax,6,3,4,5034
5,T06,133,T,,12,8,15,10080
6,T06,134,P,Dynamax,3,1,11,
6,T06,134,P,NZDee,1,1,12,
6,T06,134,P,Koby,4,1,6,
6,T06,134,T,,8,3,29,
7,T06,135,P,Dynamax,8,1,8,
7,T06,135,P,Koby,6,0,6,
7,T06,135,P,NZDee,3,1,9,
7,T06,135,T,,17,2,23,
8,T06,136,P,NZDee,4,3,10,
8,T06,136,P,Koby,8,1,9,
8,T06,136,P,Dynamax,4,1,4,
8,T06,136,T,,16,5,23,
9,T06,062,P,Koby,2,2,13,
9,T06,062,P,NZDee,5,1,13,
9,T06,062,P,Dynamax,3,2,8,
9,T06,062,T,,10,5,34,
1,T07,113,P,[ttv]ChongLeeAU,11,0,9,3687
1,T07,113,P,[beast]Unrivaled,3,3,7,2617
1,T07,113,P,minho,0,0,8,1220
1,T07,113,T,,14,3,24,7524
2,T07,022,P,[ttv]ChongLeeAU,10,4,2,5417
2,T07,022,P,[beast]Unrivaled,7,7,2,4110
2,T07,022,P,minho,2,4,2,1697
2,T07,022,T,,19,15,6,11224
3,T07,024,P,[ttv]ChongLeeAU,2,1,1,1047
3,T07,024,P,[beast]Unrivaled,3,1,4,1797
3,T07,024,P,minho,1,0,2,953
3,T07,024,T,,6,2,7,3797
4,T07,027,P,[ttv]ChongLeeAU,11,0,7,4814
4,T07,027,P,[beast]Unrivaled,1,1,8,914
4,T07,027,P,minho,0,0,11,266
4,T07,027,T,,12,1,26,5994
5,T07,124,P,[beast]Unrivaled,5,2,8,2960
5,T07,124,P,[ttv]ChongLeeAU,4,2,5,2927
5,T07,124,P,minho,2,1,12,1465
5,T07,124,T,,11,5,25,7352
6,T07,040,P,[beast]Unrivaled,13,3,5,7902
6,T07,040,P,[ttv]ChongLeeAU,11,4,3,5314
6,T07,040,P,minho,2,1,4,1756
6,T07,040,T,,26,8,12,14972
7,T07,045,P,[ttv]ChongLeeAU,8,2,6,7034
7,T07,045,P,minho,6,1,14,2164
7,T07,045,P,[beast]Unrivaled,3,2,4,4401
7,T07,045,T,,17,5,24,13599
8,T07,051,P,[ttv]ChongLeeAU,5,3,3,3204
8,T07,051,P,[beast]Unrivaled,4,1,4,2263
8,T07,051,P,minho,0,0,5,459
8,T07,051,T,,9,4,12,5926
9,T07,080,P,[beast]Unrivaled,8,0,6,2839
9,T07,080,P,[ttv]ChongLeeAU,2,3,5,2338
9,T07,080,P,minho,2,0,2,1133
9,T07,080,T,,12,3,13,6310
1,T08,005,P,z_,11,3,3,5432
1,T08,005,P,Splyce X,7,0,4,3370
1,T08,005,P,[ ttv ]Camzyy,3,3,2,2557
1,T08,005,T,,21,6,9,11359
2,T08,012,P,z_,8,0,5,4970
2,T08,012,P,[ ttv ]Camzyy,4,1,5,4644
2,T08,012,P,Kaiba,3,1,9,2642
2,T08,012,T,,15,2,19,12256
3,T08,091,P,z_,9,3,4,5281
3,T08,091,P,[ ttv ]Camzyy,7,3,6,3524
3,T08,091,P,Kaiba,3,1,5,2180
3,T08,091,T,,19,7,15,10985
4,T08,093,P,z_,5,1,5,3210
4,T08,093,P,Kaiba,1,0,8,1392
4,T08,093,P,[ ttv ]Camzyy,4,0,6,2428
4,T08,093,T,,10,1,19,7030
5,T08,008,P,z_,6,1,2,3085
5,T08,008,P,Kaiba,2,0,3,1093
5,T08,008,P,[ ttv ]Camzyy,3,1,1,1700
5,T08,008,T,,11,2,6,5878
6,T08,009,P,z_,11,3,2,4874
6,T08,009,P,Splyce X,4,2,3,2870
6,T08,009,P,[ ttv ]Camzyy,5,5,2,3677
6,T08,009,T,,20,10,7,11421
7,T08,006,P,z_,5,0,10,2825
7,T08,006,P,Splyce X,1,0,8,1954
7,T08,006,P,[ ttv ]Camzyy,2,2,6,2284
7,T08,006,T,,8,2,24,7063
8,T08,013,P,z_,1,1,1,958
8,T08,013,P,Splyce X,0,0,1,234
8,T08,013,P,[ ttv ]Camzyy,1,0,0,431
8,T08,013,T,,2,1,2,1623
9,T08,004,P,z_,1,0,2,1279
9,T08,004,P,Splyce X,0,0,7,407
9,T08,004,P,[ ttv ]Camzyy,0,0,4,861
9,T08,004,T,,1,0,13,2547
10,T08,011,P,[ ttv ]Camzyy,9,3,8,4949
10,T08,011,P,z_,7,3,5,3510
10,T08,011,P,Kaiba,5,2,9,2175
10,T08,011,T,,21,8,22,10634
1,T09,014,P,[ttok]envious jay,3,4,9,2739
1,T09,014,P,[ttv]jdz,4,2,9,2621
1,T09,014,P,[F-REV]slight,0,1,13,1163
1,T09,014,T,,7,7,31,6523
2,T09,019,P,[ttv]jdz,10,1,1,4505
2,T09,019,P,[ttok]envious jay,3,3,2,1541
2,T09,019,P,[F-REV]slight,0,0,1,212
2,T09,019,T,,13,4,4,6258
4,T09,119,P,[ttok]envious jay,6,0,8,3921
4,T09,119,P,[ttv]jdz,8,0,8,3900
4,T09,119,P,[F-REV]slight,0,1,10,1117
4,T09,119,T,,14,1,26,8938
5,T09,122,P,[ttok]envious jay,3,0,2,1959
5,T09,122,P,[ttv]jdz,2,0,3,1153
5,T09,122,P,[F-REV]slight,0,0,4,0
5,T09,122,T,,5,0,9,3112
6,T09,038,P,[ttv]jdz,6,2,6,3569
6,T09,038,P,[ttok]envious jay,5,1,1,1983
6,T09,038,P,[F-REV]slight,0,0,7,482
6,T09,038,T,,11,3,14,6034
7,T09,042,P,[ttok]envious jay,13,1,5,4818
7,T09,042,P,[ttv]jdz,5,0,2,2649
7,T09,042,P,[F-REV]slight,0,0,5,353
7,T09,042,T,,18,1,12,7820
8,T09,052,P,[ttok]envious jay,6,3,8,3766
8,T09,052,P,[ttv]jdz,8,1,9,6004
8,T09,052,P,[F-REV]slight,2,0,13,2134
8,T09,052,T,,16,4,30,11904
10,T09,110,P,[ttv]jdz,7,0,9,4433
10,T09,110,P,[ttok]envious jay,0,1,8,1164
10,T09,110,P,[F-REV]slight,0,2,5,405
10,T09,110,T,,7,3,22,6002
1,T10,137,P,Lgks,8,2,4,2568
1,T10,137,P,Hassi,8,3,4,5088
1,T10,137,P,[help]Dx,1,2,5,1738
1,T10,137,T,,17,7,13,9394
2,T10,138,P,Hassi,1,2,5,1238
2,T10,138,P,[help]Dx,3,2,4,1856
2,T10,138,P,Lgks,1,0,3,426
2,T10,138,T,,5,4,12,3520
3,T10,139,P,Lgks,2,0,7,1936
3,T10,139,P,Hassi,2,0,6,2262
3,T10,139,P,[help]Dx,0,0,8,954
3,T10,139,T,,4,0,21,5152
4,T10,072,P,Hassi,4,2,3,3035
4,T10,072,P,[help]Dx,2,0,5,1297
4,T10,072,P,Lgks,3,3,2,1040
4,T10,072,T,,9,5,10,5372
5,T10,073,P,Hassi,9,2,6,5615
5,T10,073,P,Lgks,0,0,6,1185
5,T10,073,P,[help]Dx,4,2,5,2366
5,T10,073,T,,13,4,17,9166
6,T10,074,P,Hassi,2,0,3,647
6,T10,074,P,Lgks,0,1,1,355
6,T10,074,P,[help]Dx,0,1,1,249
6,T10,074,T,,2,2,5,1251
7,T10,140,P,Lgks,1,2,5,1335
7,T10,140,P,Hassi,1,1,6,939
7,T10,140,P,[help]Dx,1,0,7,366
7,T10,140,T,,3,3,18,2640
8,T10,141,P,Hassi,4,4,5,3532
8,T10,141,P,Lgks,2,4,6,2268
8,T10,141,P,[help]Dx,3,3,7,1561
8,T10,141,T,,9,11,18,7361
9,T10,075,P,Hassi,12,5,3,5614
9,T10,075,P,Lgks,8,2,2,3086
9,T10,075,P,[help]Dx,4,2,2,2818
9,T10,075,T,,24,9,7,11518
10,T10,142,P,Hassi,1,1,1,947
10,T10,142,P,Lgks,1,0,1,135
10,T10,142,P,[help]Dx,0,0,0,331
10,T10,142,T,,2,1,2,1413
1,T11,126,P,[<3]Light,2,0,1,1502
1,T11,126,P,[1UP+]Jatzy,2,1,4,1069
1,T11,126,P,Venqur,2,1,2,732
1,T11,126,T,,6,2,7,3303
2,T11,015,P,[1UP+]Jatzy,0,0,3,484
2,T11,015,P,Venqur,2,1,2,1005
2,T11,015,P,[1UP+]Light,0,1,2,831
2,T11,015,T,,2,2,7,2320
3,T11,047,P,[1UP+]Light,5,3,7,2769
3,T11,047,P,Venqur,3,0,3,1518
3,T11,047,P,[1UP+]Jatzy,2,1,7,1355
3,T11,047,T,,10,4,17,5642
4,T11,026,P,[1UP+]Light,2,0,0,634
4,T11,026,P,[1UP+]Jatzy,0,3,0,408
4,T11,026,P,Venqur,1,1,0,390
4,T11,026,T,,3,4,0,1432
5,T11,120,P,[1UP+]Light,1,0,0,172
5,T11,120,P,Venqur,0,1,0,228
5,T11,120,P,[1UP+]Jatzy,0,0,0,354
5,T11,120,T,,1,1,0,754
6,T11,036,P,[1UP+]Light,10,1,6,4778
6,T11,036,P,[1UP+]Jatzy,3,5,4,2402
6,T11,036,P,Venqur,6,5,8,3767
6,T11,036,T,,19,11,18,10947
7,T11,041,P,[1UP+]Jatzy,2,0,8,1366
7,T11,041,P,[1UP+]Light,2,0,3,1593
7,T11,041,P,Venqur,0,1,8,693
7,T11,041,T,,4,1,19,3652
8,T11,107,P,[1UP+]Light,3,2,11,2826
8,T11,107,P,[1UP+]Jatzy,6,0,13,2816
8,T11,107,P,Venqur,1,0,7,1282
8,T11,107,T,,10,2,31,6924
9,T11,082,P,[1UP+]Jatzy,7,4,6,3469
9,T11,082,P,Venqur,7,3,5,3558
9,T11,082,P,[1UP+]Light,6,5,4,4628
9,T11,082,T,,20,12,15,11655
10,T11,085,P,[1UP+]Jatzy,4,2,4,2058
10,T11,085,P,Venqur,0,1,2,502
10,T11,085,P,[1UP+]Light,5,0,1,2088
10,T11,085,T,,9,3,7,4648
1,T12,111,P,[#5]poj,8,3,5,4481
1,T12,111,P,Snowyy,7,3,5,4157
1,T12,111,P,Hikkar,1,3,7,1046
1,T12,111,T,,16,9,17,9684
2,T12,021,P,Snowyy,5,0,4,3524
2,T12,021,P,[#5]poj,3,0,7,2246
2,T12,021,P,Hikkar,0,1,9,548
2,T12,021,T,,8,1,20,6318
3,T12,053,P,[#5]poj,9,2,2,5389
3,T12,053,P,Snowyy,5,3,3,3486
3,T12,053,P,Hikkar,0,3,8,2156
3,T12,053,T,,14,8,13,11031
4,T12,105,P,Snowyy,7,2,7,4815
4,T12,105,P,[#5]poj,7,3,5,3099
4,T12,105,P,Hikkar,0,1,11,586
4,T12,105,T,,14,6,23,8500
5,T12,032,P,Hikkar,2,2,10,2307
5,T12,032,P,Snowyy,9,0,7,3357
5,T12,032,P,[#5]poj,4,0,6,3657
5,T12,032,T,,15,2,23,9321
6,T12,035,P,[#5]poj,2,1,4,1820
6,T12,035,P,Snowyy,6,1,5,3295
6,T12,035,P,Hikkar,3,0,9,1733
6,T12,035,T,,11,2,18,6848
7,T12,044,P,[#5]poj,13,2,3,4923
7,T12,044,P,Snowyy,5,4,5,4787
7,T12,044,P,Hikkar,5,4,7,2549
7,T12,044,T,,23,10,15,12259
9,T12,083,P,Snowyy,10,1,2,3429
9,T12,083,P,Hikkar,2,1,3,1290
9,T12,083,P,[#5]poj,3,2,4,2666
9,T12,083,T,,15,4,9,7385
1,T13,063,P,Hi,2,0,2,1643
1,T13,063,P,zaza,2,2,1,1463
1,T13,063,P,[xAP]Akhi-,1,0,2,722
1,T13,063,T,,5,2,5,3828
2,T13,064,P,Hi,1,1,4,
2,T13,064,P,zaza,1,0,4,
2,T13,064,P,[xAP]Akhi-,1,0,4,
2,T13,064,T,,3,1,12,
3,T13,065,P,[xAP]Akhi-,4,1,7,
3,T13,065,P,Hi,3,1,5,
3,T13,065,P,zaza,2,2,7,
3,T13,065,T,,9,4,19,
4,T13,066,P,Hi,4,1,6,
4,T13,066,P,[xAP]Akhi-,2,0,6,
4,T13,066,P,zaza,3,2,1,
4,T13,066,T,,9,3,13,
5,T13,067,P,[xAP]Akhi-,3,1,2,1303
5,T13,067,P,Hi,8,2,2,2731
5,T13,067,P,zaza,3,4,1,2088
5,T13,067,T,,14,7,5,6122
6,T13,068,P,[xAP]Akhi-,3,1,5,
6,T13,068,P,Hi,5,1,5,
6,T13,068,P,zaza,4,1,2,
6,T13,068,T,,12,3,12,
7,T13,069,P,[xAP]Akhi-,7,3,3,3625
7,T13,069,P,Hi,6,3,1,2489
7,T13,069,P,zaza,6,1,3,3172
7,T13,069,T,,19,7,7,9286
8,T13,070,P,zaza,3,0,,
8,T13,070,P,Hi,4,0,,
8,T13,070,P,[xAP]Akhi-,1,3,,
8,T13,070,T,,8,3,,
9,T13,071,P,Hi,3,0,4,1390
9,T13,071,P,zaza,2,0,5,1677
9,T13,071,P,[xAP]Akhi-,0,0,5,260
9,T13,071,T,,5,0,14,3327
1,T14,001,P,Leza,8,1,8,3929
1,T14,001,P,[4:13P]JONO,0,2,12,1809
1,T14,001,P,ManeMerc,0,4,8,1936
1,T14,001,T,,8,7,28,7674
2,T14,090,P,Leza,9,0,8,4183
2,T14,090,P,ManeMerc,3,2,4,3265
2,T14,090,P,[4:13P]JONO,4,2,9,2043
2,T14,090,T,,16,4,21,9491
3,T14,002,P,[4:13P]JONO,2,1,2,1071
3,T14,002,P,ManeMerc,2,0,2,1491
3,T14,002,P,Leza,2,0,2,1125
3,T14,002,T,,6,1,6,3687
4,T14,007,P,Leza,5,0,11,2726
4,T14,007,P,ManeMerc,3,1,12,3077
4,T14,007,P,[4:13P]JONO,0,0,10,1650
4,T14,007,T,,8,1,33,7453
5,T14,000,P,Leza,5,1,8,3235
5,T14,000,P,[4:13P]JONO,2,0,7,3039
5,T14,000,P,ManeMerc,4,1,4,2286
5,T14,000,T,,11,2,19,8560
6,T14,088,P,Leza,2,2,9,2073
6,T14,088,P,ManeMerc,5,2,10,2656
6,T14,088,P,[4:13P]JONO,4,1,7,1764
6,T14,088,T,,11,5,26,6493
7,T14,089,P,Leza,5,4,9,3343
7,T14,089,P,[4:13P]JONO,3,0,6,1440
7,T14,089,P,ManeMerc,3,3,4,2023
7,T14,089,T,,11,7,19,6806
8,T14,092,P,[4:13P]JONO,9,6,4,3593
8,T14,092,P,Leza,5,3,2,4749
8,T14,092,P,ManeMerc,6,3,2,2883
8,T14,092,T,,20,12,8,11225
9,T14,003,P,[4:13P]JONO,3,2,7,1989
9,T14,003,P,Leza,4,1,4,2683
9,T14,003,P,ManeMerc,2,2,3,2022
9,T14,003,T,,9,5,14,6694
1,T15,033,P,[ttv]N31MAK,1,1,5,946
1,T15,033,P,[don]5thStumpBattler,4,1,3,1978
1,T15,033,P,[TTV]zzeallo,3,0,5,1223
1,T15,033,T,,8,2,13,4147
2,T15,017,P,[ttv]N31MAK,1,0,0,687
2,T15,017,P,[don]5thStumpBattler,1,0,0,500
2,T15,017,P,[TTV]zzeallo,1,0,0,521
2,T15,017,T,,3,0,0,1708
3,T15,114,P,[don]5thStumpBattler,5,3,4,2647
3,T15,114,P,[ttv]N31MAK,6,3,7,3298
3,T15,114,P,[TTV]zzeallo,7,2,10,2702
3,T15,114,T,,18,8,21,8647
4,T15,117,P,[ttv]N31MAK,3,2,3,2020
4,T15,117,P,[don]5thStumpBattler,1,3,1,1542
4,T15,117,P,[TTV]zzeallo,3,2,2,1727
4,T15,117,T,,7,7,6,5289
5,T15,106,P,[don]5thStumpBattler,1,3,4,1635
5,T15,106,P,[ttv]N31MAK,5,0,5,1250
5,T15,106,P,[TTV]zzeallo,2,0,2,1406
5,T15,106,T,,8,3,11,4291
6,T15,123,P,[ttv]N31MAK,3,2,7,2010
6,T15,123,P,[don]5thStumpBattler,3,1,6,1401
6,T15,123,P,[TTV]zzeallo,2,0,4,939
6,T15,123,T,,8,3,17,4350
7,T15,043,P,[ttv]N31MAK,1,1,7,1334
7,T15,043,P,[don]5thStumpBattler,1,1,9,568
7,T15,043,P,[TTV]zzeallo,1,0,6,623
7,T15,043,T,,3,2,22,2525
8,T15,079,P,[ttv]N31MAK,0,0,8,225
8,T15,079,P,[TTV]zzeallo,0,0,8,778
8,T15,079,P,[don]5thStumpBattler,0,1,5,587
8,T15,079,T,,0,1,21,1590
9,T15,050,P,[ttv]N31MAK,0,0,5,239
9,T15,050,P,[don]5thStumpBattler,0,0,6,481
9,T15,050,P,[TTV]zzeallo,0,0,7,164
9,T15,050,T,,,,,
10,T15,086,P,[ttv]N31MAK,1,1,5,1160
10,T15,086,P,[TTV]zzeallo,0,0,7,576
10,T15,086,P,Bazzy,1,0,8,608
10,T15,086,T,,2,1,20,2344
1,T16,076,P,[Unc!]Cortez,2,0,5,1474
1,T16,076,P,Frenchy,3,0,12,855
1,T16,076,P,Vibes_AU,2,0,6,1454
1,T16,076,T,,7,0,23,3783
2,T16,094,P,Frenchy,5,1,7,2441
2,T16,094,P,[Unc!]Cortez,1,3,6,1411
2,T16,094,P,Vibes_AU,1,0,8,600
2,T16,094,T,,7,4,21,4452
3,T16,096,P,[Unc!]Cortez,2,0,2,2311
3,T16,096,P,Frenchy,2,0,3,1484
3,T16,096,P,Vibes_AU,1,2,8,1065
3,T16,096,T,,5,2,13,4860
4,T16,098,P,Frenchy,4,1,6,2843
4,T16,098,P,[Unc!]Cortez,1,0,4,955
4,T16,098,P,Vibes_AU,1,0,6,908
4,T16,098,T,,6,1,16,4706
5,T16,100,P,Frenchy,0,2,0,441
5,T16,100,P,Vibes_AU,0,2,0,330
5,T16,100,P,[Unc!]Cortez,2,0,0,227
5,T16,100,T,,2,4,0,998
6,T16,143,P,Frenchy,0,1,4,561
6,T16,143,P,[Unc!]Cortez,1,0,3,641
6,T16,143,P,Vibes_AU,0,0,2,87
6,T16,143,T,,1,1,9,1289
8,T16,104,P,[Unc!]Cortez,1,0,5,1042
8,T16,104,P,Frenchy,2,1,10,1658
8,T16,104,P,Vibes_AU,3,1,6,1425
8,T16,104,T,,6,2,21,4125
9,T16,145,P,Frenchy,0,1,4,1371
9,T16,145,P,Vibes_AU,4,0,3,1529
9,T16,145,P,[Unc!]Cortez,3,0,2,1512
9,T16,145,T,,7,1,9,4412
